day,mint,symbol,decimals,avg_price
2026-01-10 00:00:00.000 UTC,jupSoLaHXQiZZTSfEWMTRRgpnyFm8f6sZdosWBjx93v,JUPSOL,9,158.1609722222221
2026-01-10 00:00:00.000 UTC,mSoLzYCxHdYgdzU16g5QSh3i5K3z3KZK7ytfqcJm7So,MSOL,9,183.85763888888908
2026-01-10 00:00:00.000 UTC,So11111111111111111111111111111111111111112,SOL,9,136.12746527777696
2026-01-10 00:00:00.000 UTC,F23fFqpRNsmWjuUrFpfM1pvoVvMSpLuN6hY978Y1JXLt,USDC,6,3.6426736111111565e-06
2026-01-10 00:00:00.000 UTC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USDC,6,1.000382322916669
2026-01-10 00:00:00.000 UTC,USDSwr9ApdHk5bvJKMjzff41FfuX8bSxdKcR81vTwcA,USDS,6,1.0002253020833314
2026-01-10 00:00:00.000 UTC,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,USDT,6,0.9992394444444449
2026-01-10 00:00:00.000 UTC,3NZ9JMVBmGAqocybic2c7LQCJScmgsAZ6vQqTDzcqmJh,WBTC,8,90358.02510416674
2026-01-10 00:00:00.000 UTC,7vfCXTUXx5WJV5JADk17DUJ4ksgau7utNKj4b963voxs,WETH,8,3088.5675694444417
2026-01-11 00:00:00.000 UTC,bSo13r4TkiE4KumL71LsHTPpL2euBYLFx6h9HP3piy1,BSOL,9,174.3172222222223
2026-01-11 00:00:00.000 UTC,J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,JITOSOL,9,172.24618055555567
2026-01-11 00:00:00.000 UTC,27G8MtK7VtTcCHkpASjSDdkWWYfoqT6ggEuKidVJidD4,JLP,6,4.755104166666676
2026-01-11 00:00:00.000 UTC,jupSoLaHXQiZZTSfEWMTRRgpnyFm8f6sZdosWBjx93v,JUPSOL,9,159.64944444444447
2026-01-11 00:00:00.000 UTC,mSoLzYCxHdYgdzU16g5QSh3i5K3z3KZK7ytfqcJm7So,MSOL,9,185.60722222222302
2026-01-11 00:00:00.000 UTC,So11111111111111111111111111111111111111112,SOL,9,137.3896527777777
2026-01-11 00:00:00.000 UTC,F23fFqpRNsmWjuUrFpfM1pvoVvMSpLuN6hY978Y1JXLt,USDC,6,3.632430555555509e-06
2026-01-11 00:00:00.000 UTC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USDC,6,1.0006131493055546
2026-01-11 00:00:00.000 UTC,USDSwr9ApdHk5bvJKMjzff41FfuX8bSxdKcR81vTwcA,USDS,6,1.0002594201388848
2026-01-11 00:00:00.000 UTC,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,USDT,6,0.9994508472222208
2026-01-11 00:00:00.000 UTC,3NZ9JMVBmGAqocybic2c7LQCJScmgsAZ6vQqTDzcqmJh,WBTC,8,90536.41583333325
2026-01-11 00:00:00.000 UTC,7vfCXTUXx5WJV5JADk17DUJ4ksgau7utNKj4b963voxs,WETH,8,3105.6655902777898
2026-01-12 00:00:00.000 UTC,bSo13r4TkiE4KumL71LsHTPpL2euBYLFx6h9HP3piy1,BSOL,9,178.82045138888842
2026-01-12 00:00:00.000 UTC,J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,JITOSOL,9,176.72552083333318
2026-01-12 00:00:00.000 UTC,27G8MtK7VtTcCHkpASjSDdkWWYfoqT6ggEuKidVJidD4,JLP,6,4.811909722222233
2026-01-12 00:00:00.000 UTC,jupSoLaHXQiZZTSfEWMTRRgpnyFm8f6sZdosWBjx93v,JUPSOL,9,163.8479861111108
2026-01-12 00:00:00.000 UTC,mSoLzYCxHdYgdzU16g5QSh3i5K3z3KZK7ytfqcJm7So,MSOL,9,190.52177083333316
2026-01-12 00:00:00.000 UTC,So11111111111111111111111111111111111111112,SOL,9,140.9643055555561
2026-01-12 00:00:00.000 UTC,F23fFqpRNsmWjuUrFpfM1pvoVvMSpLuN6hY978Y1JXLt,USDC,6,3.8877777777777774e-06
2026-01-12 00:00:00.000 UTC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USDC,6,1.000282718750001
2026-01-12 00:00:00.000 UTC,USDSwr9ApdHk5bvJKMjzff41FfuX8bSxdKcR81vTwcA,USDS,6,1.0002731319444442
2026-01-12 00:00:00.000 UTC,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,USDT,6,0.9992567465277772
2026-01-12 00:00:00.000 UTC,3NZ9JMVBmGAqocybic2c7LQCJScmgsAZ6vQqTDzcqmJh,WBTC,8,91119.69673611097
2026-01-12 00:00:00.000 UTC,7vfCXTUXx5WJV5JADk17DUJ4ksgau7utNKj4b963voxs,WETH,8,3121.3870486111095
2026-01-13 00:00:00.000 UTC,bSo13r4TkiE4KumL71LsHTPpL2euBYLFx6h9HP3piy1,BSOL,9,179.91315972222228
2026-01-13 00:00:00.000 UTC,J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,JITOSOL,9,177.70656249999996
2026-01-13 00:00:00.000 UTC,27G8MtK7VtTcCHkpASjSDdkWWYfoqT6ggEuKidVJidD4,JLP,6,4.835833333333327
2026-01-13 00:00:00.000 UTC,jupSoLaHXQiZZTSfEWMTRRgpnyFm8f6sZdosWBjx93v,JUPSOL,9,164.7240625
2026-01-13 00:00:00.000 UTC,mSoLzYCxHdYgdzU16g5QSh3i5K3z3KZK7ytfqcJm7So,MSOL,9,191.63447916666664
2026-01-13 00:00:00.000 UTC,So11111111111111111111111111111111111111112,SOL,9,141.71562499999993
2026-01-13 00:00:00.000 UTC,F23fFqpRNsmWjuUrFpfM1pvoVvMSpLuN6hY978Y1JXLt,USDC,6,3.905277777777794e-06
2026-01-13 00:00:00.000 UTC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USDC,6,0.9999621805555556
2026-01-13 00:00:00.000 UTC,USDSwr9ApdHk5bvJKMjzff41FfuX8bSxdKcR81vTwcA,USDS,6,1.0000182986111132
2026-01-13 00:00:00.000 UTC,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,USDT,6,0.9992852118055532
2026-01-13 00:00:00.000 UTC,3NZ9JMVBmGAqocybic2c7LQCJScmgsAZ6vQqTDzcqmJh,WBTC,8,92365.20416666684
2026-01-13 00:00:00.000 UTC,7vfCXTUXx5WJV5JADk17DUJ4ksgau7utNKj4b963voxs,WETH,8,3158.0262847222207
2026-01-14 00:00:00.000 UTC,bSo13r4TkiE4KumL71LsHTPpL2euBYLFx6h9HP3piy1,BSOL,9,184.8871527777781
2026-01-14 00:00:00.000 UTC,J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,JITOSOL,9,182.6756597222219
2026-01-14 00:00:00.000 UTC,27G8MtK7VtTcCHkpASjSDdkWWYfoqT6ggEuKidVJidD4,JLP,6,4.942152777777757
2026-01-14 00:00:00.000 UTC,jupSoLaHXQiZZTSfEWMTRRgpnyFm8f6sZdosWBjx93v,JUPSOL,9,169.34267361111083
2026-01-14 00:00:00.000 UTC,mSoLzYCxHdYgdzU16g5QSh3i5K3z3KZK7ytfqcJm7So,MSOL,9,196.94479166666696
2026-01-14 00:00:00.000 UTC,So11111111111111111111111111111111111111112,SOL,9,145.66291666666658
2026-01-14 00:00:00.000 UTC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USDC,6,0.9997247777777772
2026-01-14 00:00:00.000 UTC,F23fFqpRNsmWjuUrFpfM1pvoVvMSpLuN6hY978Y1JXLt,USDC,6,4.056597222222256e-06
2026-01-14 00:00:00.000 UTC,USDSwr9ApdHk5bvJKMjzff41FfuX8bSxdKcR81vTwcA,USDS,6,0.9998431944444418
2026-01-14 00:00:00.000 UTC,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,USDT,6,0.9996018229166667
2026-01-14 00:00:00.000 UTC,3NZ9JMVBmGAqocybic2c7LQCJScmgsAZ6vQqTDzcqmJh,WBTC,8,95646.47628472224
2026-01-14 00:00:00.000 UTC,7vfCXTUXx5WJV5JADk17DUJ4ksgau7utNKj4b963voxs,WETH,8,3335.806666666669
2026-01-15 00:00:00.000 UTC,bSo13r4TkiE4KumL71LsHTPpL2euBYLFx6h9HP3piy1,BSOL,9,182.66979166666627
2026-01-15 00:00:00.000 UTC,J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,JITOSOL,9,180.55649305555576
2026-01-15 00:00:00.000 UTC,27G8MtK7VtTcCHkpASjSDdkWWYfoqT6ggEuKidVJidD4,JLP,6,4.920138888888897
2026-01-15 00:00:00.000 UTC,jupSoLaHXQiZZTSfEWMTRRgpnyFm8f6sZdosWBjx93v,JUPSOL,9,167.37482638888886
2026-01-15 00:00:00.000 UTC,mSoLzYCxHdYgdzU16g5QSh3i5K3z3KZK7ytfqcJm7So,MSOL,9,194.70642361111135
2026-01-15 00:00:00.000 UTC,So11111111111111111111111111111111111111112,SOL,9,143.91489583333367
2026-01-15 00:00:00.000 UTC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USDC,6,0.9998179652777752
2026-01-15 00:00:00.000 UTC,F23fFqpRNsmWjuUrFpfM1pvoVvMSpLuN6hY978Y1JXLt,USDC,6,4.0500000000000154e-06
2026-01-15 00:00:00.000 UTC,USDSwr9ApdHk5bvJKMjzff41FfuX8bSxdKcR81vTwcA,USDS,6,0.999837656250001
2026-01-15 00:00:00.000 UTC,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,USDT,6,0.9997393645833345
2026-01-15 00:00:00.000 UTC,3NZ9JMVBmGAqocybic2c7LQCJScmgsAZ6vQqTDzcqmJh,WBTC,8,95987.60677083302
2026-01-15 00:00:00.000 UTC,7vfCXTUXx5WJV5JADk17DUJ4ksgau7utNKj4b963voxs,WETH,8,3323.504027777768
2026-01-16 00:00:00.000 UTC,bSo13r4TkiE4KumL71LsHTPpL2euBYLFx6h9HP3piy1,BSOL,9,181.52750000000006
2026-01-16 00:00:00.000 UTC,J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,JITOSOL,9,179.45284722222183
2026-01-16 00:00:00.000 UTC,27G8MtK7VtTcCHkpASjSDdkWWYfoqT6ggEuKidVJidD4,JLP,6,4.897569444444445
2026-01-16 00:00:00.000 UTC,jupSoLaHXQiZZTSfEWMTRRgpnyFm8f6sZdosWBjx93v,JUPSOL,9,166.34815972222242
2026-01-16 00:00:00.000 UTC,mSoLzYCxHdYgdzU16g5QSh3i5K3z3KZK7ytfqcJm7So,MSOL,9,193.6101388888887
2026-01-16 00:00:00.000 UTC,So11111111111111111111111111111111111111112,SOL,9,143.03423611111066
